Metadata_sample_name,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_MaxFeretDiameter,AreaShape_FilledArea,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_MeanIntensity_LMX,Intensity_MeanIntensity_TH,Intensity_MaxIntensity_LMX,Intensity_MaxIntensity_TH,Intensity_MinIntensity_LMX,Intensity_MinIntensity_TH,Location_Center_X,Location_Center_Y,CellName,cell_type
S2,1,592,728,611,0.520137149854251,27.4546500703108,1,0.813186813186813,30.8058436014987,29.7543739633975,25.4126975652097,0.955327673258476,89.3553390593274,0.968903436988543,0.21199325,0.06507733,0.321428567171097,0.205714285373688,0.0816326513886452,0.011428571306169,425.125,237.869932432432,S2-LMX-1,LMX+
S2,2,674,918,695,0.719831422795622,29.2944269981766,1,0.734204793028322,36.2491379207837,35.3203572767944,24.5175878480043,-0.452691939926305,97.4974746830583,0.969784172661871,0.25890186,0.04845282,0.397959172725678,0.222857147455215,0.0816326513886452,0.00571428565308452,229.903560830861,229.669139465875,S2-LMX-2,LMX+
S2,3,393,567,406,0.81889027154639,22.3692454294042,1,0.693121693121693,29.9666481275434,29.6101889504626,16.9947710607261,0.513142547274983,75.5979797464467,0.967980295566502,0.25268736,0.0070374277,0.372448980808258,0.0514285713434219,0.107142858207226,-0.00571428565308452,37.9312977099237,344.75572519084,S2-LMX-3,LMX+
S2,4,348,462,362,0.625672107369052,21.049640414217,1,0.753246753246753,24.6981780704569,23.8616541670974,18.6141461251394,-0.769135155874428,68.5269119345812,0.961325966850829,0.23333041,0.10136279,0.428571432828903,0.47428572177887,0.122448980808258,0.0228571426123381,350.979885057471,346.761494252874,S2-LMX-4,LMX+
S2,5,478,608,496,0.796958778670497,24.6699919412919,1,0.786184210526316,32.2490309931942,31.7663881107692,19.1879687979931,0.0847236574519823,83.3553390593274,0.963709677419355,0.2528072,0.0032994663,0.367346942424774,0.0571428574621677,0.13775509595871,-0.00571428565308452,142.757322175732,425.926778242678,S2-LMX-5,LMX+
S2,6,268,360,280,0.612387019496675,18.4723630862168,1,0.744444444444445,21.9317121994613,20.804020429239,16.44678724285,0.633796564417876,59.698484809835,0.957142857142857,0.2075274,0.0522388,0.341836720705032,0.125714287161827,0.061224490404129,0.0171428564935923,264.440298507463,238.208955223881,S2-LMX-6,LMX+
S2,7,296,380,309,0.596120139810265,19.4133692398205,1,0.778947368421053,22.8254244210267,21.6688022974009,17.3977783897334,0.983586111274694,62.2842712474619,0.957928802588997,0.28440422,0.068397686,0.413265317678452,0.222857147455215,0.117346942424774,0.011428571306169,240.402027027027,334.439189189189,S2-LMX-7,LMX+
S2,8,260,342,274,0.532101040615403,18.1945673658689,1,0.760233918128655,21.0237960416286,19.8462585911758,16.8034473372992,0.295667768995774,58.8700576850888,0.948905109489051,0.32916012,0.055208765,0.525510191917419,0.177142858505249,0.13775509595871,0.011428571306169,235.596153846154,385.315384615385,S2-LMX-8,LMX+
S2,9,357,437,368,0.589412935569189,21.3200965633473,1,0.816933638443936,24.3515913237718,23.7882531778183,19.216909949691,0.012182225553815,68.2842712474619,0.970108695652174,0.22328933,0.095014066,0.336734682321548,0.239999994635582,0.127551019191742,0.0171428564935923,245.56862745098,288.145658263305,S2-LMX-9,LMX+
S2,10,267,320,275,0.610597805632003,18.4378675134704,1,0.834375,21.1896201004171,20.8004764999618,16.4727471692546,-1.53947435408678,58.6274169979695,0.970909090909091,0.3036001,0.028849626,0.505102038383484,0.0971428602933884,0.153061226010323,0.00571428565308452,217.307116104869,300.820224719101,S2-LMX-10,LMX+
