Metadata_sample_name,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_MaxFeretDiameter,AreaShape_FilledArea,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_MeanIntensity_LMX,Intensity_MeanIntensity_TH,Intensity_MaxIntensity_LMX,Intensity_MaxIntensity_TH,Intensity_MinIntensity_LMX,Intensity_MinIntensity_TH,Location_Center_X,Location_Center_Y
S1-LMX,1,1208,1519,1245,0.7817891657921575,39.21827851958926,1,0.7952600394996708,49.64876634922564,49.76684396385692,31.03176029793168,-0.016879117892862148,133.98275605729688,0.970281124497992,0.29703528,0.046847943,0.572549045085907,0.3349514603614807,0.1411764770746231,0.004854368977248669,342.58526490066225,259.53145695364236
S1-LMX,2,914,1280,946,0.7968343912939692,34.11364747264559,1,0.7140625,44.77722635447622,43.918635371010524,26.535541828034102,-0.515074350312344,115.98275605729688,0.9661733615221987,0.2673343,0.14008619,0.4313725531101227,0.6019417643547058,0.04313725605607033,0.014563106931746006,305.26695842450766,237.3840262582057
S1-LMX,3,1431,1798,1477,0.8521397952659531,42.684959745981,1,0.7958843159065628,58.54912467321779,59.32797235744142,31.047171378312335,0.0006200946778414769,152.22539674441617,0.968855788761002,0.12545067,0.19078617,0.29019609093666077,0.7330096960067749,0.03529411926865578,0.014563106931746006,324.0293501048218,298.1488469601677
S1-LMX,4,406,500,416,0.6400355975178383,22.736210219877808,1,0.812,26.92582403567252,25.97827470512767,19.960284153977113,-0.3239639027957408,73.11269837220809,0.9759615384615384,0.22796245,0.016739186,0.3686274588108063,0.03883495181798935,0.11372549086809158,0.009708737954497337,94.00492610837438,400.9679802955665
S1-LMX,5,917,1204,947,0.7909156223367592,34.16958680642984,1,0.7616279069767442,44.384682042344295,43.999241992552165,26.92424596093521,-0.2214540389509339,117.1543289325507,0.9683210137275607,0.34225476,0.07258274,0.6235294342041016,0.1990291327238083,0.062745101749897,0.014563106931746006,194.64994547437294,320.4961832061069
S1-LMX,6,772,1020,796,0.6468219928393409,31.35188875547286,1,0.7568627450980392,36.76955262170047,35.92142280396465,27.395150154794337,0.4978409463527981,103.49747468305833,0.9698492462311558,0.20710544,0.06469139,0.32156863808631897,0.276699036359787,0.10588235408067703,0.009708737954497337,397.0259067357513,315.75906735751295
S1-LMX,7,565,722,593,0.8631278873139385,26.821266613927218,1,0.7825484764542936,38.2099463490856,37.89605522872975,19.136954455306014,0.0376190750870967,94.76955262170047,0.9527824620573356,0.21017401,0.032528624,0.41960784792900085,0.6456310749053955,0.0784313753247261,0.004854368977248669,203.29380530973452,231.2353982300885
S1-LMX,8,243,289,248,0.17440906515819074,17.58969042850512,1,0.8408304498269896,18.788294228055936,17.73162808853308,17.45986047651496,-0.31481474034510837,54.62741699796952,0.9798387096774194,0.2585006,0.039214544,0.40392157435417175,0.19417475163936615,0.0941176488995552,0.004854368977248669,70.08641975308642,140.13168724279836
S1-LMX,9,294,391,311,0.7147570776987325,19.347672370394786,1,0.7519181585677749,23.769728648009426,23.234687676866503,16.249708685663183,-0.1412386467644868,64.2842712474619,0.9453376205787781,0.30233428,0.022439057,0.42352941632270813,0.06310679763555527,0.14901961386203766,0.004854368977248669,121.9047619047619,119.56122448979592
S1-LMX,10,599,775,614,0.682915294100648,27.616489409343153,1,0.7729032258064517,34.0147027033899,32.44441831572148,23.70056876873423,-0.5009203906568401,90.42640687119285,0.9755700325732899,0.1735827,0.025309207,0.3176470696926117,0.1456310749053955,0.05882352963089943,0.004854368977248669,187.48414023372288,282.75792988313856
