sample_name,label,cell_file,file_name
S1-LMX,Cell_Mask,/home/ernohanninen/simpli_project/App/work/8e/495e4cf4a47b77a1cee7cca2e7ea4c/S1-LMX-StarDist-Cells.csv,/home/ernohanninen/simpli_project/App/work/8e/495e4cf4a47b77a1cee7cca2e7ea4c/S1-LMX-StarDist-Cell_Mask.tiff
S1-TH,Cell_Mask,/home/ernohanninen/simpli_project/App/work/8e/495e4cf4a47b77a1cee7cca2e7ea4c/S1-TH-StarDist-Cells.csv,/home/ernohanninen/simpli_project/App/work/8e/495e4cf4a47b77a1cee7cca2e7ea4c/S1-TH-StarDist-Cell_Mask.tiff
