loss,val_loss,learning rate
0.6675485372543335,0.678938627243042,5e-05
0.6215702295303345,0.6719339489936829,5e-05
0.6255068182945251,0.6361879706382751,5e-05
0.6029955744743347,0.6550902128219604,5e-05
0.606930136680603,0.6404963731765747,5e-05
0.5989385843276978,0.628440797328949,5e-05
0.5845556855201721,0.6052392721176147,5e-05
0.5859456658363342,0.6140009164810181,5e-05
0.5836241245269775,0.6058846116065979,5e-05
0.5698091387748718,0.6099455952644348,5e-05
0.5743427872657776,0.5989958047866821,5e-05
0.5669835209846497,0.5991286635398865,5e-05
0.5666626691818237,0.6048648357391357,5e-05
0.5570222735404968,0.5988929867744446,5e-05
0.5569114685058594,0.5880270600318909,5e-05
0.5413792133331299,0.5998753309249878,5e-05
0.5478478074073792,0.5811948180198669,5e-05
0.5528324842453003,0.5951001048088074,5e-05
0.5427468419075012,0.5857834219932556,5e-05
0.5487256646156311,0.6280656456947327,5e-05
0.5498265027999878,0.6118093132972717,5e-05
0.5459439158439636,0.5926424860954285,5e-05
0.5327680110931396,0.6039178371429443,5e-05
0.5264633893966675,0.5847893357276917,5e-05
0.5333103537559509,0.588600218296051,5e-05
0.5346176028251648,0.6119216084480286,5e-05
0.5322398543357849,0.581065833568573,5e-05
0.5291476845741272,0.5849314332008362,5e-05
0.5269455313682556,0.6178420782089233,5e-05
0.5295310616493225,0.5994243025779724,5e-05
0.5231903791427612,0.6021076440811157,5e-05
0.5189439654350281,0.5833972692489624,5e-05
0.5322844982147217,0.613802433013916,5e-05
0.5151961445808411,0.5851044654846191,5e-05
0.5085346102714539,0.5842180848121643,5e-05
0.5120729207992554,0.5835129618644714,5e-05
0.5064281821250916,0.5915876626968384,5e-05
0.5128473043441772,0.5722075700759888,5e-05
0.5106675624847412,0.5992348194122314,5e-05
0.5147486329078674,0.5725322961807251,5e-05
0.5095514059066772,0.5747724175453186,5e-05
0.5064474940299988,0.5907432436943054,5e-05
0.505900502204895,0.5827053189277649,5e-05
0.5011001229286194,0.5826168060302734,5e-05
0.5058901906013489,0.6094696521759033,5e-05
0.5072281956672668,0.6030972003936768,5e-05
0.49805915355682373,0.596971869468689,5e-05
0.49903926253318787,0.5841891169548035,5e-05
0.4937240183353424,0.5655570030212402,5e-05
0.5025351643562317,0.5836508274078369,5e-05
